file,state,world_tick,player_x,player_y,facing,shot_sequence,dashing,panel_width,panel_height,settings_open
viewport-600x400/mission-complete.png,MISSION_COMPLETE,298,100.000,450.000,1,0,false,600,400,false
viewport-1280x800/mission-complete.png,MISSION_COMPLETE,298,100.000,450.000,1,0,false,1280,800,false
motion/frame-000.png,RUNNING,2,105.000,450.000,1,1,false,960,600,false
motion/frame-001.png,RUNNING,3,110.000,450.000,1,1,false,960,600,false
motion/frame-002.png,RUNNING,4,115.000,450.000,1,1,false,960,600,false
motion/frame-003.png,RUNNING,5,120.000,450.000,1,1,false,960,600,false
motion/frame-004.png,RUNNING,6,125.000,450.000,1,1,false,960,600,false
motion/frame-005.png,RUNNING,7,130.000,450.000,1,1,false,960,600,false
motion/frame-006.png,RUNNING,8,135.000,450.000,1,1,false,960,600,false
motion/frame-007.png,RUNNING,9,140.000,450.000,1,1,false,960,600,false
motion/frame-008.png,RUNNING,10,145.000,450.000,1,1,false,960,600,false
motion/frame-009.png,RUNNING,11,150.000,437.600,1,1,false,960,600,false
motion/frame-010.png,RUNNING,12,155.000,425.800,1,1,false,960,600,false
motion/frame-011.png,RUNNING,13,160.000,414.600,1,1,false,960,600,false
motion/frame-012.png,RUNNING,14,165.000,404.000,1,1,false,960,600,false
