tick,role,input,action,x,y,grounded,crouching,facing,aimX,aimY,phase,shotSequence,hp,muzzleX,muzzleY
26,WARDEN,RUN_RIGHT,RUN,717.450,270.000,true,false,1,1.00000,0.00000,5.88263,2,100,750.450,270.000
26,ENGINEER,RUN_RIGHT,RUN,729.600,270.000,true,false,1,1.00000,0.00000,1.50796,2,100,762.600,270.000
27,REPAIR,RUN_RIGHT,RUN,740.000,270.000,true,false,1,1.00000,0.00000,3.14159,2,100,773.000,270.000
27,SCOUT,RUN_RIGHT,RUN,758.200,270.000,true,false,1,1.00000,0.00000,6.00044,2,100,791.200,270.000
27,WARDEN,RUN_RIGHT,RUN,721.800,270.000,true,false,1,1.00000,0.00000,0.28274,2,100,754.800,270.000
27,ENGINEER,RUN_RIGHT,RUN,734.400,270.000,true,false,1,1.00000,0.00000,2.26195,2,100,767.400,270.000
28,REPAIR,RUN_RIGHT,RUN,745.000,270.000,true,false,1,1.00000,0.00000,3.92699,2,100,778.000,270.000
28,SCOUT,RUN_RIGHT,RUN,763.850,270.000,true,false,1,1.00000,0.00000,0.60476,2,100,796.850,270.000
28,WARDEN,RUN_RIGHT,RUN,726.150,270.000,true,false,1,1.00000,0.00000,0.96604,2,100,759.150,270.000
28,ENGINEER,RUN_RIGHT,RUN,739.200,270.000,true,false,1,1.00000,0.00000,3.01593,2,100,772.200,270.000
29,REPAIR,RUN_RIGHT,RUN,750.000,270.000,true,false,1,1.00000,0.00000,4.71239,2,100,783.000,270.000
29,SCOUT,RUN_RIGHT,RUN,769.500,270.000,true,false,1,1.00000,0.00000,1.49226,2,100,802.500,270.000
29,WARDEN,RUN_RIGHT,RUN,730.500,270.000,true,false,1,1.00000,0.00000,1.64934,2,100,763.500,270.000
29,ENGINEER,RUN_RIGHT,RUN,744.000,270.000,true,false,1,1.00000,0.00000,3.76991,2,100,777.000,270.000
30,REPAIR,RUN_RIGHT,RUN,755.000,270.000,true,false,1,1.00000,0.00000,5.49779,2,100,788.000,270.000
30,SCOUT,RUN_RIGHT,RUN,775.150,270.000,true,false,1,1.00000,0.00000,2.37976,2,100,808.150,270.000
30,WARDEN,RUN_RIGHT,RUN,734.850,270.000,true,false,1,1.00000,0.00000,2.33263,2,100,767.850,270.000
30,ENGINEER,RUN_RIGHT,RUN,748.800,270.000,true,false,1,1.00000,0.00000,4.52389,2,100,781.800,270.000
31,REPAIR,RUN_RIGHT,RUN,760.000,270.000,true,false,1,1.00000,0.00000,0.00000,2,100,793.000,270.000
31,SCOUT,RUN_RIGHT,RUN,780.800,270.000,true,false,1,1.00000,0.00000,3.26726,2,100,813.800,270.000
31,WARDEN,RUN_RIGHT,RUN,739.200,270.000,true,false,1,1.00000,0.00000,3.01593,2,100,772.200,270.000
31,ENGINEER,RUN_RIGHT,RUN,753.600,270.000,true,false,1,1.00000,0.00000,5.27788,2,100,786.600,270.000
32,REPAIR,RUN_RIGHT,RUN,765.000,270.000,true,false,1,1.00000,0.00000,0.78540,2,100,798.000,270.000
32,SCOUT,RUN_RIGHT,RUN,786.450,270.000,true,false,1,1.00000,0.00000,4.15476,2,100,819.450,270.000
32,WARDEN,RUN_RIGHT,RUN,743.550,270.000,true,false,1,1.00000,0.00000,3.69923,2,100,776.550,270.000
32,ENGINEER,RUN_RIGHT,RUN,758.400,270.000,true,false,1,1.00000,0.00000,6.03186,2,100,791.400,270.000
33,REPAIR,RUN_RIGHT,RUN,770.000,270.000,true,false,1,1.00000,0.00000,1.57080,2,100,803.000,270.000
33,SCOUT,RUN_RIGHT,RUN,792.100,270.000,true,false,1,1.00000,0.00000,5.04226,2,100,825.100,270.000
33,WARDEN,RUN_RIGHT,RUN,747.900,270.000,true,false,1,1.00000,0.00000,4.38252,2,100,780.900,270.000
33,ENGINEER,RUN_RIGHT,RUN,763.200,270.000,true,false,1,1.00000,0.00000,0.50265,2,100,796.200,270.000
34,REPAIR,RUN_RIGHT,RUN,775.000,270.000,true,false,1,1.00000,0.00000,2.35619,2,100,808.000,270.000
34,SCOUT,RUN_RIGHT,RUN,797.750,270.000,true,false,1,1.00000,0.00000,5.92976,2,100,830.750,270.000
34,WARDEN,RUN_RIGHT,RUN,752.250,270.000,true,false,1,1.00000,0.00000,5.06582,2,100,785.250,270.000
34,ENGINEER,RUN_RIGHT,RUN,768.000,270.000,true,false,1,1.00000,0.00000,1.25664,2,100,801.000,270.000
