case,width,height,draw_width,draw_height,index,simulation_publish_ms,edt_dispatch_ms,edt_paint_ms,published,enemies,player_bullets,enemy_bullets,particles
world1_normal_960,960,600,960,600,85,6.582000,0.097100,1.260500,true,6,32,12,120
world1_normal_960,960,600,960,600,86,8.419400,0.130600,1.523900,true,6,32,12,120
world1_normal_960,960,600,960,600,87,6.401300,0.102500,1.459300,true,6,32,12,120
world1_normal_960,960,600,960,600,88,6.638500,0.111100,2.363400,true,6,32,12,120
world1_normal_960,960,600,960,600,89,7.396900,0.109400,1.426300,true,6,32,12,120
world1_normal_960,960,600,960,600,90,6.516000,0.223500,1.483400,true,6,32,12,120
world1_normal_960,960,600,960,600,91,6.226400,0.104600,1.438600,true,6,32,12,120
world1_normal_960,960,600,960,600,92,6.468700,0.105900,1.360700,true,6,32,12,120
world1_normal_960,960,600,960,600,93,6.235200,0.114900,1.616700,true,6,32,12,120
world1_normal_960,960,600,960,600,94,6.185100,0.104100,1.349300,true,6,32,12,120
world1_normal_960,960,600,960,600,95,6.939900,0.097900,1.419000,true,7,32,12,120
world1_normal_960,960,600,960,600,96,6.291000,0.105700,2.006900,true,6,32,12,120
world1_normal_960,960,600,960,600,97,7.753900,0.113600,1.281400,true,6,32,12,120
world1_normal_960,960,600,960,600,98,6.585500,0.100600,1.680800,true,6,32,12,120
world1_normal_960,960,600,960,600,99,6.803800,0.119600,1.465300,true,6,32,12,120
world1_normal_960,960,600,960,600,100,6.906200,0.103000,1.767700,true,6,32,12,120
world1_normal_960,960,600,960,600,101,7.129100,0.129600,1.373900,true,6,32,12,120
world1_normal_960,960,600,960,600,102,6.616500,0.103800,1.462700,true,6,32,12,120
world1_normal_960,960,600,960,600,103,6.405400,0.105300,1.540400,true,6,32,12,120
world1_normal_960,960,600,960,600,104,7.281800,0.112700,1.285400,true,6,32,12,120
world1_normal_960,960,600,960,600,105,6.754100,0.099500,1.643300,true,6,32,12,120
world1_normal_960,960,600,960,600,106,6.476800,0.101500,1.369100,true,6,32,12,120
world1_normal_960,960,600,960,600,107,6.243500,0.123200,1.241900,true,6,32,12,120
world1_normal_960,960,600,960,600,108,5.986400,0.100300,1.511100,true,6,32,12,120
world1_normal_960,960,600,960,600,109,6.362200,0.118100,1.287800,true,6,32,12,120
world1_normal_960,960,600,960,600,110,6.300900,0.128200,1.375200,true,6,32,12,120
world1_normal_960,960,600,960,600,111,6.848300,0.102200,1.259300,true,6,32,12,120
world1_normal_960,960,600,960,600,112,8.548700,0.115700,1.285200,true,6,32,12,120
world1_normal_960,960,600,960,600,113,7.027400,0.101500,1.304800,true,6,32,12,120
world1_normal_960,960,600,960,600,114,8.562300,0.128300,1.636200,true,6,32,12,120
world1_normal_960,960,600,960,600,115,6.575800,0.110100,1.516600,true,6,32,12,120
world1_normal_960,960,600,960,600,116,8.512200,0.126500,1.257300,true,6,32,12,120
world1_normal_960,960,600,960,600,117,6.773100,0.118600,1.452200,true,6,32,12,120
world1_normal_960,960,600,960,600,118,6.291900,0.100600,1.745800,true,6,32,12,120
world1_normal_960,960,600,960,600,119,5.939900,0.097500,1.420300,true,6,32,12,120
world1_normal_960,960,600,960,600,120,6.037500,0.100000,1.501300,true,6,32,12,120
world1_normal_960,960,600,960,600,121,6.920100,0.116700,1.401000,true,6,32,12,120
world1_normal_960,960,600,960,600,122,7.126100,0.103600,1.419300,true,6,32,12,120
world1_normal_960,960,600,960,600,123,6.257500,0.101800,1.529600,true,6,32,12,120
world1_normal_960,960,600,960,600,124,6.917300,0.112800,1.528600,true,6,32,12,120
world1_normal_960,960,600,960,600,125,6.393800,0.106200,1.331200,true,6,32,12,120
world1_normal_960,960,600,960,600,126,7.647500,0.143900,1.561300,true,6,32,12,120
world1_normal_960,960,600,960,600,127,7.517200,0.099200,1.440800,true,6,32,12,120
world1_normal_960,960,600,960,600,128,6.695700,0.109400,1.600100,true,6,32,12,120
world1_normal_960,960,600,960,600,129,7.576500,0.127700,1.520800,true,6,32,12,120
world1_normal_960,960,600,960,600,130,6.239900,0.105900,1.380200,true,6,32,12,120
world1_normal_960,960,600,960,600,131,6.947200,0.131700,1.497100,true,6,32,12,120
world1_normal_960,960,600,960,600,132,6.452200,0.118400,1.434000,true,6,32,12,120
world1_normal_960,960,600,960,600,133,6.396800,0.133900,1.447600,true,6,32,12,120
